,mmsi,lon,lat,date_time_utc,sog,cog,true_heading,nav_status,message_nr,source
0,Ship1,6960333.5774912825,41819.07839864372,0,10.149,222,222,,18,
1,Ship2,6959858.635548732,40952.33001025083,0,6.426,130,130,,2,
2,Ship3,6959151.857873976,41331.19445558668,0,9.843,279,279,,3,
3,Ship4,6959967.826263273,41999.7180149717,0,7.497,39,39,,1,
4,Ship1,6960326.1452079825,41812.16729410457,1,10.149,222,222,,18,
5,Ship2,6959854.447159653,40957.20349698147,1,6.426,128,128,,2,
6,Ship3,6959153.513987019,41321.49177870918,1,9.843,279,279,,3,
7,Ship4,6959973.595959266,42004.50504089131,1,7.497,39,39,,1,
8,Ship1,6960318.713916026,41805.25512361599,2,10.149,222,222,,18,
9,Ship2,6959850.459789688,40962.24277835505,2,6.426,126,126,,2,
10,Ship3,6959155.15054668,41311.78578460892,2,9.843,279,279,,3,
11,Ship4,6959979.369923889,42009.286917252495,2,7.497,39,39,,1,
12,Ship1,6960311.283514933,41798.34199548185,3,10.149,222,222,,18,
13,Ship2,6959846.679995047,40967.43956856365,3,6.426,126,126,,2,
14,Ship3,6959156.711361492,41302.06732248142,3,9.843,278,278,,3,
15,Ship4,6959985.1478331685,42014.06402656207,3,7.497,39,39,,1,
16,Ship1,6960303.853914395,41791.42800699107,4,10.149,222,222,,18,
17,Ship2,6959842.872874626,40972.61637357284,4,6.426,126,126,,2,
18,Ship3,6959158.203667592,41292.33810506672,4,9.843,278,278,,3,
19,Ship4,6959990.929387979,42018.83672317671,4,7.497,39,39,,1,
20,Ship1,6960296.42503325,41784.51324553999,5,10.149,222,222,,18,
21,Ship2,6959839.027716277,40977.76498826741,5,6.426,127,127,,2,
22,Ship3,6959159.634043135,41282.5995900461,5,9.843,278,278,,3,
23,Ship4,6959996.7143121,42023.605335334716,5,7.497,39,39,,1,
24,Ship1,6960288.996798554,41777.597789639985,6,10.149,222,222,,18,
25,Ship2,6959835.147052046,40982.8868942722,6,6.426,127,127,,2,
26,Ship3,6959161.00845951,41272.85301995065,6,9.843,277,277,,3,
27,Ship4,6960002.502350434,42028.37016704722,6,7.497,39,39,,1,
28,Ship1,6960281.569144756,41770.681709822056,7,10.149,222,222,,18,
29,Ship2,6959831.233248481,40987.983522339106,7,6.426,127,127,,2,
30,Ship3,6959162.332330914,41263.09945580686,7,9.843,277,277,,3,
31,Ship4,6960008.293267362,42033.13149985791,7,7.497,39,39,,1,
32,Ship1,6960274.1420129435,41763.76506944909,8,10.149,222,222,,18,
33,Ship2,6959827.288516148,40993.05624969478,8,6.426,128,128,,2,
34,Ship3,6959163.610561575,41253.33980543509,8,9.843,277,277,,3,
35,Ship4,6960014.086845235,42037.88959447917,8,7.497,39,39,,1,
36,Ship1,6960266.715350178,41756.84792544533,9,10.149,222,222,,18,
37,Ship2,6959823.3149189325,40998.10639832351,9,6.426,128,128,,2,
38,Ship3,6959164.847590249,41243.57484721402,9,9.843,277,277,,3,
39,Ship4,6960019.882882984,42042.64469231289,9,7.497,39,39,,1,
40,Ship1,6960259.2891088845,41749.930328951334,10,10.149,222,222,,18,
41,Ship2,6959819.314383046,41003.1352340356,10,6.426,128,128,,2,
42,Ship3,6959166.047431766,41233.80525001999,10,9.843,276,276,,3,
43,Ship4,6960025.681194839,42047.3970168634,10,7.497,39,39,,1,
44,Ship1,6960251.863246311,41743.01232591218,11,10.149,222,222,,18,
45,Ship2,6959815.288705684,41008.14396618893,11,6.426,129,129,,2,
46,Ship3,6959167.213715553,41224.03158995186,11,9.843,276,276,,3,
47,Ship4,6960031.48160915,42052.14677504962,11,7.497,39,39,,1,
48,Ship1,6960244.437724042,41736.09395760579,12,10.149,222,222,,18,
49,Ship2,6959811.239563306,41013.13374794761,12,6.426,129,129,,2,
50,Ship3,6959168.34972117,41214.25436436181,12,9.843,276,276,,3,
51,Ship4,6960037.2839673,42056.894158423354,12,7.497,39,39,,1,
52,Ship1,6960237.012507553,41729.17526111741,13,10.149,222,222,,18,
53,Ship2,6959807.168519493,41018.10567697707,13,6.426,129,129,,2,
54,Ship3,6959169.458410944,41204.47400363299,13,9.843,276,276,,3,
55,Ship4,6960043.088122708,42061.63934429983,13,7.497,39,39,,1,
56,Ship1,6960229.587565824,41722.25626976572,14,10.149,222,222,,18,
57,Ship2,6959803.077032401,41023.06079648873,14,6.426,129,129,,2,
58,Ship3,6959170.542459841,41194.690881074835,14,9.843,276,276,,3,
59,Ship4,6960048.893939902,42066.3824968068,14,7.497,39,39,,1,
60,Ship1,6960222.16287098,41715.337013485696,15,10.149,222,222,,18,
61,Ship2,6959798.966461783,41028.000096559845,15,6.426,129,129,,2,
62,Ship3,6959171.604282735,41184.905321247155,15,9.843,276,276,,3,
63,Ship4,6960054.701293673,42071.1237678577,15,7.497,39,39,,1,
64,Ship1,6960214.738397972,41708.41751917241,16,10.149,222,222,,18,
65,Ship2,6959794.838075601,41032.9245156652,16,6.426,130,130,,2,
66,Ship3,6959172.646059238,41175.11760697278,16,9.843,275,275,,3,
67,Ship4,6960060.510068287,42075.863298054086,16,7.497,39,39,,1,
68,Ship1,6960207.314124292,41701.49781098994,17,10.149,222,222,,18,
69,Ship2,6959790.693056228,41037.83494236725,17,6.426,130,130,,2,
70,Ship3,6959173.66975628,41165.32798525555,17,9.843,275,275,,3,
71,Ship4,6960066.320156764,42080.60121752234,17,7.497,39,39,,1,
72,Ship1,6960199.890029716,41694.577910648724,18,10.149,222,222,,18,
73,Ship2,6959786.532506264,41042.73221711949,18,6.426,130,130,,2,
74,Ship3,6959174.677148603,41155.536672283895,18,9.843,275,275,,3,
75,Ship4,6960072.13146021,42085.33764668943,18,7.497,39,39,,1,
76,Ship1,6960192.4660960715,41687.657837654944,19,10.149,222,222,,18,
77,Ship2,6959782.357453971,41047.6171341459,19,6.426,130,130,,2,
78,Ship3,6959175.669837346,41145.74385767013,19,9.843,275,275,,3,
79,Ship4,6960077.943887202,42090.07269700187,19,7.497,39,39,,1,
80,Ship1,6960185.042307029,41680.737609534284,20,10.149,222,222,,18,
81,Ship2,6959778.168858353,41052.49044336493,20,6.426,130,130,,2,
82,Ship3,6959176.649266884,41135.949708049986,20,9.843,275,275,,3,
83,Ship4,6960083.757353219,42094.80647159194,20,7.497,39,39,,1,
84,Ship1,6960177.618647914,41673.817242033154,21,10.149,222,222,,18,
85,Ship2,6959773.967613891,41057.35285233277,21,6.426,130,130,,2,
86,Ship3,6959177.616740061,41126.15437014606,21,9.843,275,275,,3,
87,Ship4,6960089.571780118,42099.539065895064,21,7.497,39,39,,1,
88,Ship1,6960170.195105544,41666.896749299376,22,10.149,222,222,,18,
89,Ship2,6959769.754554966,41062.20502818496,22,6.426,131,131,,2,
90,Ship3,6959178.573431979,41116.357973381244,22,9.843,275,275,,3,
91,Ship4,6960095.38709565,42104.27056822172,22,7.497,39,39,,1,
92,Ship1,6960162.771668072,41659.97614404446,23,10.149,222,222,,18,
93,Ship2,6959765.530459977,41067.04759955927,23,6.426,131,131,,2,
94,Ship3,6959179.5204024585,41106.56063211375,23,9.843,275,275,,3,
95,Ship4,6960101.203233012,42109.00106028726,23,7.497,39,39,,1,
96,Ship1,6960155.348324853,41653.05543768954,24,10.149,222,222,,18,
97,Ship2,6959761.296055167,41071.881158486794,24,6.426,131,131,,2,
98,Ship3,6959180.458607297,41096.76244755331,24,9.843,275,275,,3,
99,Ship4,6960107.020130437,42113.73061770262,24,7.497,39,39,,1,
100,Ship1,6960147.925066322,41646.134640496355,25,10.149,222,222,,18,
101,Ship2,6959757.052018201,41076.70626224041,25,6.426,131,131,,2,
102,Ship3,6959181.388908447,41086.96350940818,25,9.843,275,275,,3,
103,Ship4,6960112.83773081,42118.45931042881,25,7.497,39,39,,1,
104,Ship1,6960140.501883886,41639.213761684936,26,10.149,222,222,,18,
105,Ship2,6959752.798981483,41081.52343513262,26,6.426,131,131,,2,
106,Ship3,6959182.312083195,41077.163897304454,26,9.843,275,275,,3,
107,Ship4,6960118.655981317,42123.187203197784,26,7.497,39,39,,1,
