Unnamed: 0;mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
331786;249359000;2020-01-01 04:19:48;12.3;67.7;71;0;13.2;8.56886;63.4073
331787;249359000;2020-01-01 04:19:57;12.3;68.0;70;0;12.3;8.56993;63.4075
331788;249359000;2020-01-01 04:20:08;12.4;67.5;71;0;10.8;8.57108;63.4077
331789;249359000;2020-01-01 04:20:19;12.2;68.5;70;0;10.8;8.57223;63.4079
331790;249359000;2020-01-01 04:20:28;12.3;67.4;70;0;14.5;8.57352;63.4081
331791;249359000;2020-01-01 04:20:49;12.1;67.9;70;0;11.5;8.57586;63.4085
331792;249359000;2020-01-01 04:20:58;12.3;67.6;70;0;12.3;8.57692;63.4087
331793;249359000;2020-01-01 04:21:09;12.3;68.5;70;0;11.1;8.57811;63.4089
331794;249359000;2020-01-01 04:21:18;12.1;67.7;69;0;14.3;8.57926;63.4092
331795;249359000;2020-01-01 04:21:28;12.1;67.4;69;0;13.0;8.58053;63.4094
331796;249359000;2020-01-01 04:21:48;12.2;67.1;69;0;12.0;8.58285;63.4098
331797;249359000;2020-01-01 04:21:58;12.1;66.8;69;0;10.7;8.58388;63.41
331798;249359000;2020-01-01 04:22:08;12.2;67.2;70;0;11.9;8.58504;63.4102
331799;249359000;2020-01-01 04:22:18;12.3;67.8;69;0;12.1;8.58622;63.4104
331800;249359000;2020-01-01 04:22:29;12.1;67.2;69;0;12.5;8.5875;63.4107
331801;249359000;2020-01-01 04:22:49;12.3;66.6;70;0;12.4;8.58983;63.4112
331802;249359000;2020-01-01 04:22:57;12.2;66.5;70;0;12.4;8.59085;63.4113
331803;249359000;2020-01-01 04:23:05;12.3;66.2;71;0;17.3;8.59213;63.4116
331804;249359000;2020-01-01 04:23:17;12.3;67.3;71;0;13.8;8.5932;63.4118
331805;249359000;2020-01-01 04:23:28;12.3;67.7;70;0;12.0;8.5945;63.412
331806;249359000;2020-01-01 04:23:47;12.2;67.2;70;0;12.1;8.5967;63.4124
331807;249359000;2020-01-01 04:23:59;12.3;67.0;69;0;10.7;8.59785;63.4127
331808;249359000;2020-01-01 04:24:09;12.0;66.3;70;0;12.6;8.59909;63.4129
331809;249359000;2020-01-01 04:24:18;12.2;66.6;70;0;12.1;8.60013;63.4131
331810;249359000;2020-01-01 04:24:29;12.2;66.8;70;0;12.5;8.60141;63.4134
331811;249359000;2020-01-01 04:24:48;12.1;66.3;70;0;12.1;8.60362;63.4138
331812;249359000;2020-01-01 04:24:58;12.2;67.0;70;0;13.2;8.60493;63.414
331813;249359000;2020-01-01 04:25:08;12.1;66.9;70;0;12.8;8.60608;63.4143
331814;249359000;2020-01-01 04:25:17;12.3;66.9;70;0;11.4;8.60713;63.4144
331815;249359000;2020-01-01 04:25:28;12.1;66.9;70;0;12.5;8.60839;63.4147
331816;249359000;2020-01-01 04:25:47;12.3;67.2;69;0;12.0;8.61057;63.4151
331817;249359000;2020-01-01 04:25:58;12.3;66.4;70;0;12.0;8.61187;63.4153
331818;249359000;2020-01-01 04:26:09;12.3;67.0;70;0;11.8;8.61304;63.4156
331819;249359000;2020-01-01 04:26:18;12.3;67.2;70;0;12.3;8.61411;63.4158
331820;249359000;2020-01-01 04:26:29;12.3;66.8;70;0;11.8;8.61539;63.416
331821;249359000;2020-01-01 04:26:48;12.3;67.0;70;0;12.1;8.6176;63.4164
331822;249359000;2020-01-01 04:26:59;12.3;66.8;69;0;11.0;8.61878;63.4166
331823;249359000;2020-01-01 04:27:08;12.3;66.2;71;0;15.3;8.62006;63.4169
331824;249359000;2020-01-01 04:27:17;12.3;67.5;71;0;12.3;8.62112;63.4171
331825;249359000;2020-01-01 04:27:27;12.3;68.5;70;0;12.1;8.62229;63.4173
331826;249359000;2020-01-01 04:27:50;12.3;66.7;70;0;10.8;8.62472;63.4177
331827;249359000;2020-01-01 04:27:58;12.1;67.2;70;0;13.4;8.62574;63.4179
331828;249359000;2020-01-01 04:28:09;12.1;67.6;70;0;12.5;8.62701;63.4182
