Unnamed: 0;mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
3905;209318000;2020-01-01 09:38:05;8.5;233.4;233;0;6.9;8.20684;63.2954
3906;209318000;2020-01-01 09:38:15;8.5;234.0;233;0;8.6;8.20606;63.2952
3907;209318000;2020-01-01 09:38:24;8.6;233.8;232;0;9.7;8.20543;63.2949
3908;209318000;2020-01-01 09:38:33;8.5;233.2;233;0;8.9;8.20473;63.2947
3909;209318000;2020-01-01 09:38:44;8.6;233.2;233;0;7.2;8.20402;63.2945
3910;209318000;2020-01-01 09:38:55;8.6;233.2;232;0;8.8;8.20325;63.2942
3911;209318000;2020-01-01 09:39:04;8.6;233.2;232;0;8.2;8.20262;63.294
3912;209318000;2020-01-01 09:39:15;8.6;232.6;232;0;9.0;8.20184;63.2937
3913;209318000;2020-01-01 09:39:23;8.7;232.6;233;0;9.2;8.2012;63.2935
3914;209318000;2020-01-01 09:39:34;8.7;233.1;233;0;7.6;8.20046;63.2933
3915;209318000;2020-01-01 09:39:45;8.7;233.6;233;0;8.7;8.19973;63.293
3916;209318000;2020-01-01 09:39:54;8.7;233.1;233;0;9.5;8.19897;63.2928
3917;209318000;2020-01-01 09:40:04;8.7;233.1;233;0;8.7;8.19836;63.2925
3918;209318000;2020-01-01 09:40:15;8.8;233.8;233;0;8.1;8.19755;63.2923
3919;209318000;2020-01-01 09:40:24;8.7;234.1;233;0;8.4;8.19689;63.2921
3920;209318000;2020-01-01 09:40:34;8.8;233.8;232;0;9.5;8.19616;63.2918
3921;209318000;2020-01-01 09:40:44;8.8;233.1;232;0;8.6;8.19538;63.2916
3922;209318000;2020-01-01 09:40:55;8.8;232.8;233;0;8.7;8.19465;63.2913
3923;209318000;2020-01-01 09:41:05;8.9;233.2;233;0;7.8;8.19398;63.2911
3924;209318000;2020-01-01 09:41:14;8.9;233.8;233;0;11.2;8.19316;63.2908
3925;209318000;2020-01-01 09:41:25;8.9;233.8;233;0;7.6;8.19241;63.2906
3926;209318000;2020-01-01 09:41:33;8.9;233.5;233;0;9.7;8.19173;63.2904
3927;209318000;2020-01-01 09:41:45;8.9;233.8;233;0;8.4;8.19091;63.2901
3928;209318000;2020-01-01 09:41:56;8.9;234.1;233;0;7.4;8.19019;63.2899
3929;209318000;2020-01-01 09:42:04;8.8;233.8;233;0;11.4;8.18952;63.2896
3930;209318000;2020-01-01 09:42:15;8.8;233.5;233;0;7.8;8.18874;63.2894
3931;209318000;2020-01-01 09:42:24;8.8;234.2;233;0;8.2;8.18812;63.2892
3932;209318000;2020-01-01 09:42:34;8.8;234.4;233;0;9.5;8.1874;63.2889
3933;209318000;2020-01-01 09:42:44;8.8;234.0;233;0;8.7;8.1866;63.2887
3934;209318000;2020-01-01 09:42:55;8.8;234.4;233;0;8.7;8.18587;63.2884
3935;209318000;2020-01-01 09:43:05;8.8;234.8;233;0;7.8;8.1852;63.2882
3936;209318000;2020-01-01 09:43:14;8.8;233.9;232;0;11.0;8.18441;63.2879
3937;209318000;2020-01-01 09:43:25;8.8;233.8;233;0;7.6;8.18366;63.2877
3938;209318000;2020-01-01 09:43:33;8.8;233.8;233;0;9.5;8.18301;63.2875
3939;209318000;2020-01-01 09:43:44;8.7;233.8;233;0;9.2;8.18221;63.2872
3940;209318000;2020-01-01 09:43:56;8.7;234.0;233;0;6.2;8.18157;63.287
3941;209318000;2020-01-01 09:44:04;8.7;234.2;233;0;10.4;8.18083;63.2868
3942;209318000;2020-01-01 09:44:15;8.7;234.0;233;0;9.0;8.18004;63.2865
3943;209318000;2020-01-01 09:44:24;8.7;234.1;233;0;8.2;8.17942;63.2863
3944;209318000;2020-01-01 09:44:34;8.7;234.0;233;0;9.3;8.17871;63.286
3945;209318000;2020-01-01 09:44:45;8.7;234.1;233;0;8.0;8.17791;63.2858
3946;209318000;2020-01-01 09:44:55;8.7;234.2;233;0;10.1;8.17709;63.2855
3947;209318000;2020-01-01 09:45:05;8.7;234.0;233;0;8.2;8.17636;63.2853
3948;209318000;2020-01-01 09:45:14;8.7;234.0;233;0;8.4;8.17571;63.2851
3949;209318000;2020-01-01 09:45:25;8.7;234.4;233;0;8.8;8.17496;63.2848
3950;209318000;2020-01-01 09:45:35;8.7;234.8;233;0;7.8;8.17428;63.2846
3951;209318000;2020-01-01 09:45:44;8.8;234.2;233;0;9.5;8.1735;63.2844
3952;209318000;2020-01-01 09:45:55;8.8;234.9;233;0;8.7;8.17276;63.2841
3953;209318000;2020-01-01 09:46:06;8.8;235.4;232;0;7.6;8.17202;63.2839
3954;209318000;2020-01-01 09:46:15;8.8;234.8;232;0;9.1;8.1713;63.2837
3955;209318000;2020-01-01 09:46:25;8.7;233.8;232;0;7.6;8.17064;63.2835
3956;209318000;2020-01-01 09:46:34;8.8;233.6;232;0;10.4;8.16993;63.2832
3957;209318000;2020-01-01 09:46:45;8.8;233.9;232;0;8.0;8.16914;63.283
3958;209318000;2020-01-01 09:46:54;8.8;233.6;232;0;10.4;8.16843;63.2827
3959;209318000;2020-01-01 09:47:05;8.8;233.2;232;0;9.2;8.16763;63.2824
3960;209318000;2020-01-01 09:47:15;8.8;233.4;232;0;7.8;8.16696;63.2822
3961;209318000;2020-01-01 09:47:24;8.8;233.8;232;0;8.6;8.16629;63.282
3962;209318000;2020-01-01 09:47:35;8.8;231.8;233;0;7.4;8.16557;63.2818
3963;209318000;2020-01-01 09:47:37;8.8;230.1;234;0;25.3;8.16529;63.2816
3964;209318000;2020-01-01 09:47:40;8.9;229.9;235;0;6.5;8.16508;63.2816
3965;209318000;2020-01-01 09:47:44;8.8;230.6;236;0;7.3;8.16487;63.2815
3966;209318000;2020-01-01 09:47:48;8.8;231.8;237;0;10.2;8.16451;63.2814
3967;209318000;2020-01-01 09:47:51;8.8;233.1;238;0;10.4;8.16428;63.2813
3968;209318000;2020-01-01 09:47:55;8.8;234.4;238;0;7.8;8.16405;63.2812
3969;209318000;2020-01-01 09:48:06;8.8;236.8;239;0;7.8;8.16328;63.281
3970;209318000;2020-01-01 09:48:14;8.8;238.8;240;0;10.7;8.1625;63.2808
3971;209318000;2020-01-01 09:48:25;8.9;239.8;240;0;7.2;8.16181;63.2806
3972;209318000;2020-01-01 09:48:34;8.9;240.8;240;0;10.4;8.16094;63.2804
3973;209318000;2020-01-01 09:48:45;9.0;241.6;241;0;7.2;8.16024;63.2802
3974;209318000;2020-01-01 09:48:54;9.0;242.5;240;0;11.0;8.15932;63.28
3975;209318000;2020-01-01 09:49:05;9.1;242.2;241;0;8.3;8.15849;63.2798
3976;209318000;2020-01-01 09:49:15;9.1;242.2;241;0;8.7;8.15769;63.2796
3977;209318000;2020-01-01 09:49:24;9.1;242.9;240;0;10.2;8.15684;63.2794
3978;209318000;2020-01-01 09:49:35;9.1;242.2;241;0;8.3;8.156;63.2792
3979;209318000;2020-01-01 09:49:44;9.1;242.2;241;0;9.3;8.15525;63.279
3980;209318000;2020-01-01 09:49:55;9.1;243.0;240;0;8.8;8.15434;63.2788
3981;209318000;2020-01-01 09:50:06;9.2;242.1;241;0;8.3;8.15351;63.2786
3982;209318000;2020-01-01 09:50:14;9.1;242.9;241;0;11.4;8.15267;63.2784
3983;209318000;2020-01-01 09:50:25;9.2;243.1;240;0;8.3;8.15182;63.2782
3984;209318000;2020-01-01 09:50:34;9.2;242.6;241;0;10.2;8.15097;63.278
3985;209318000;2020-01-01 09:50:45;9.2;243.1;240;0;7.8;8.1502;63.2778
3986;209318000;2020-01-01 09:50:53;9.2;242.5;240;0;11.4;8.14936;63.2776
3987;209318000;2020-01-01 09:51:05;9.2;242.5;240;0;8.1;8.14845;63.2774
3988;209318000;2020-01-01 09:51:15;9.2;242.8;240;0;9.1;8.1476;63.2772
3989;209318000;2020-01-01 09:51:24;9.3;242.2;240;0;10.2;8.14676;63.277
3990;209318000;2020-01-01 09:51:35;9.3;242.4;241;0;8.0;8.14596;63.2768
3991;209318000;2020-01-01 09:51:44;9.3;242.9;240;0;9.3;8.14522;63.2766
3992;209318000;2020-01-01 09:51:54;9.3;242.1;240;0;9.3;8.14435;63.2764
3993;209318000;2020-01-01 09:52:06;9.4;241.8;241;0;8.1;8.14344;63.2762
3994;209318000;2020-01-01 09:52:14;9.4;242.5;241;0;11.4;8.1426;63.276
3995;209318000;2020-01-01 09:52:25;9.4;243.0;240;0;8.7;8.14172;63.2758
3996;209318000;2020-01-01 09:52:34;9.4;242.4;240;0;10.4;8.14085;63.2756
3997;209318000;2020-01-01 09:52:44;9.4;241.9;241;0;9.1;8.14002;63.2754
3998;209318000;2020-01-01 09:52:53;9.4;242.2;241;0;7.8;8.13933;63.2753
3999;209318000;2020-01-01 09:53:05;9.4;242.6;240;0;9.7;8.13831;63.275
4000;209318000;2020-01-01 09:53:15;9.4;242.2;240;0;9.3;8.13744;63.2748
4001;209318000;2020-01-01 09:53:24;9.4;242.1;241;0;10.4;8.13658;63.2746
4002;209318000;2020-01-01 09:53:35;9.5;242.2;241;0;8.5;8.13572;63.2744
4003;209318000;2020-01-01 09:53:45;9.5;242.5;241;0;8.6;8.13495;63.2742
4004;209318000;2020-01-01 09:53:54;9.5;242.2;241;0;10.4;8.13409;63.274
4005;209318000;2020-01-01 09:54:05;9.5;242.2;241;0;9.4;8.13312;63.2738
4006;209318000;2020-01-01 09:54:14;9.5;242.6;241;0;10.6;8.13223;63.2736
4007;209318000;2020-01-01 09:54:25;9.5;242.8;240;0;8.5;8.13136;63.2734
4008;209318000;2020-01-01 09:54:35;9.4;242.5;240;0;9.1;8.13053;63.2732
4009;209318000;2020-01-01 09:54:44;9.5;241.8;240;0;10.4;8.12967;63.273
4010;209318000;2020-01-01 09:54:53;9.5;241.2;240;0;8.6;8.129;63.2728
