Unnamed: 0;mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
244973;245497000;2020-01-01 13:24:10;11.7;45.0;42;0;12.0;9.9295;63.3502
244974;245497000;2020-01-01 13:24:18;11.7;44.0;40;0;12.9;9.93033;63.3505
244975;245497000;2020-01-01 13:24:30;11.7;42.0;38;0;7.6;9.931;63.3508
244976;245497000;2020-01-01 13:24:38;11.7;40.0;37;0;16.8;9.93183;63.3513
244977;245497000;2020-01-01 13:24:48;11.7;40.0;36;0;10.7;9.9325;63.3517
244978;245497000;2020-01-01 13:24:57;11.8;38.0;36;0;13.8;9.93317;63.3522
244979;245497000;2020-01-01 13:25:09;11.9;37.0;36;0;11.2;9.934;63.3527
244980;245497000;2020-01-01 13:25:19;11.9;37.0;36;0;10.3;9.93483;63.353
244981;245497000;2020-01-01 13:25:29;12.0;36.0;36;0;12.4;9.9355;63.3535
244982;245497000;2020-01-01 13:25:39;12.0;36.0;36;0;12.4;9.93617;63.354
244983;245497000;2020-01-01 13:25:47;12.0;36.0;36;0;11.2;9.93683;63.3543
244984;245497000;2020-01-01 13:25:58;12.0;36.0;37;0;11.3;9.9375;63.3548
244985;245497000;2020-01-01 13:26:10;11.9;36.0;37;0;11.2;9.93833;63.3553
244986;245497000;2020-01-01 13:26:18;11.9;36.0;37;0;13.4;9.939;63.3557
244987;245497000;2020-01-01 13:26:29;11.9;36.0;37;0;12.2;9.93983;63.3562
244988;245497000;2020-01-01 13:26:38;11.9;37.0;38;0;13.8;9.9405;63.3567
244989;245497000;2020-01-01 13:26:49;11.9;37.0;38;0;9.4;9.94133;63.357
244990;245497000;2020-01-01 13:26:57;11.9;37.0;39;0;14.6;9.94183;63.3575
244991;245497000;2020-01-01 13:27:09;12.0;38.0;38;0;12.0;9.94283;63.358
244992;245497000;2020-01-01 13:27:19;12.0;38.0;38;0;9.1;9.9435;63.3583
244993;245497000;2020-01-01 13:27:30;12.0;38.0;38;0;12.2;9.94433;63.3588
244994;245497000;2020-01-01 13:27:39;12.0;38.0;38;0;11.9;9.945;63.3592
244995;245497000;2020-01-01 13:27:49;11.9;38.0;37;0;13.4;9.94583;63.3597
244996;245497000;2020-01-01 13:27:58;12.0;38.0;35;0;10.2;9.9465;63.36
