Unnamed: 0;mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
252357;246188000;2020-01-02 08:29:17;0.1;97.3;279;5;0.1;10.3702;63.4325
252358;246188000;2020-01-02 08:44:17;0.0;97.3;279;5;0.1;10.3702;63.4324
402030;250000963;2020-01-02 08:30:27;0.1;149.5;127;1;0.2;10.3755;63.44
402031;250000963;2020-01-02 08:39:27;0.0;77.1;129;1;0.1;10.3757;63.44
503045;257004500;2020-01-02 08:27:09;0.0;360.0;511;7;0.8;10.3619;63.4328
503046;257004500;2020-01-02 08:28:00;0.0;360.0;511;7;1.2;10.362;63.4329
503047;257004500;2020-01-02 08:28:08;0.1;360.0;511;7;2.9;10.3619;63.4328
503048;257004500;2020-01-02 08:28:19;0.1;360.0;511;7;1.9;10.3619;63.4329
503049;257004500;2020-01-02 08:28:28;0.0;360.0;511;7;0.9;10.362;63.4329
503050;257004500;2020-01-02 08:28:39;0.0;360.0;511;7;1.9;10.362;63.433
503051;257004500;2020-01-02 08:28:50;0.0;360.0;511;7;2.1;10.3619;63.4329
503052;257004500;2020-01-02 08:29:18;0.0;360.0;511;7;0.9;10.362;63.4329
503053;257004500;2020-01-02 08:29:29;0.0;360.0;511;7;0.7;10.3619;63.4329
503054;257004500;2020-01-02 08:30:19;0.0;360.0;511;7;1.9;10.3619;63.4328
503055;257004500;2020-01-02 08:30:28;0.0;360.0;511;7;2.4;10.3619;63.4329
503056;257004500;2020-01-02 08:31:18;0.1;360.0;511;7;0.9;10.362;63.4329
503057;257004500;2020-01-02 08:31:40;0.0;360.0;511;7;0.4;10.3619;63.4329
503058;257004500;2020-01-02 08:31:48;0.0;360.0;511;7;2.7;10.3619;63.4328
503059;257004500;2020-01-02 08:32:47;0.0;360.0;511;7;2.7;10.3619;63.4329
503060;257004500;2020-01-02 08:32:59;0.0;360.0;511;7;1.8;10.3619;63.4328
503061;257004500;2020-01-02 08:33:48;0.0;360.0;511;7;2.9;10.362;63.4329
503062;257004500;2020-01-02 08:33:59;0.0;360.0;511;7;2.1;10.3619;63.4328
503063;257004500;2020-01-02 08:34:10;0.0;360.0;511;7;1.9;10.3619;63.4329
503064;257004500;2020-01-02 08:34:39;0.0;360.0;511;7;2.1;10.3619;63.4328
503065;257004500;2020-01-02 08:34:47;0.0;360.0;511;7;2.9;10.362;63.4329
503066;257004500;2020-01-02 08:35:00;0.0;360.0;511;7;0.6;10.3619;63.4329
503067;257004500;2020-01-02 08:35:09;0.0;360.0;511;7;2.4;10.3619;63.4328
503068;257004500;2020-01-02 08:35:59;0.0;360.0;511;7;1.1;10.3619;63.4329
503069;257004500;2020-01-02 08:36:40;0.0;360.0;511;7;0.7;10.362;63.4329
503070;257004500;2020-01-02 08:36:49;0.0;360.0;511;7;0.9;10.3619;63.4329
503071;257004500;2020-01-02 08:36:58;0.0;360.0;511;7;2.4;10.3619;63.4328
503072;257004500;2020-01-02 08:37:39;0.0;360.0;511;7;0.7;10.362;63.4328
503073;257004500;2020-01-02 08:37:58;0.0;360.0;511;7;0.4;10.3619;63.4328
503074;257004500;2020-01-02 08:38:09;0.0;360.0;511;7;1.9;10.3619;63.4329
503075;257004500;2020-01-02 08:39:58;0.0;360.0;511;7;2.9;10.3618;63.4328
503076;257004500;2020-01-02 08:40:09;0.1;360.0;511;7;2.1;10.3619;63.4329
503077;257004500;2020-01-02 08:40:20;0.0;360.0;511;7;1.9;10.3619;63.4328
503078;257004500;2020-01-02 08:40:29;0.0;360.0;511;7;2.4;10.3619;63.4329
503079;257004500;2020-01-02 08:41:38;0.0;360.0;511;7;2.1;10.3619;63.4328
503080;257004500;2020-01-02 08:41:50;0.0;360.0;511;7;1.8;10.3619;63.4329
503081;257004500;2020-01-02 08:42:20;0.0;360.0;511;7;1.1;10.362;63.4328
503082;257004500;2020-01-02 08:42:29;0.0;360.0;511;7;0.9;10.3619;63.4328
503083;257004500;2020-01-02 08:42:39;0.0;360.0;511;7;2.3;10.362;63.4329
503084;257004500;2020-01-02 08:42:49;0.0;360.0;511;7;2.1;10.362;63.4328
503085;257004500;2020-01-02 08:42:59;0.0;360.0;511;7;0.8;10.3619;63.4328
503086;257004500;2020-01-02 08:43:19;0.0;360.0;511;7;0.4;10.362;63.4328
503087;257004500;2020-01-02 08:43:58;0.0;360.0;511;7;0.9;10.3619;63.4328
503088;257004500;2020-01-02 08:44:09;0.0;360.0;511;7;0.7;10.362;63.4328
503089;257004500;2020-01-02 08:44:29;0.0;360.0;511;7;2.4;10.362;63.4329
503090;257004500;2020-01-02 08:44:39;0.0;360.0;511;7;2.1;10.362;63.4328
503091;257004500;2020-01-02 08:46:08;0.0;360.0;511;7;2.1;10.362;63.4329
503092;257004500;2020-01-02 08:46:20;0.0;360.0;511;7;1.8;10.362;63.4328
503093;257004500;2020-01-02 08:46:48;0.0;360.0;511;7;2.4;10.362;63.4329
503094;257004500;2020-01-02 08:46:59;0.0;360.0;511;7;1.9;10.362;63.4328
539556;257013470;2020-01-02 08:38:36;0.0;36.2;511;-99;0.1;8.76865;63.6883
539557;257013470;2020-01-02 08:44:33;0.1;31.0;511;-99;0.1;8.76873;63.6882
547103;257020390;2020-01-02 08:28:40;0.0;119.0;111;7;2.1;8.83681;63.7357
553406;257025170;2020-01-02 08:46:25;5.8;101.2;511;-99;0.3;9.406;63.5912
553407;257025170;2020-01-02 08:46:55;3.9;279.0;511;-99;0.5;9.40584;63.5912
555382;257025970;2020-01-02 08:29:06;0.1;190.4;511;-99;0.1;9.08191;63.4589
555383;257025970;2020-01-02 08:30:31;0.9;2.2;511;-99;0.3;9.08192;63.459
555384;257025970;2020-01-02 08:31:01;5.1;291.2;511;-99;3.5;9.08106;63.4593
555385;257025970;2020-01-02 08:31:30;4.6;255.2;511;-99;4.8;9.07961;63.4593
555386;257025970;2020-01-02 08:32:03;4.7;211.5;511;-99;4.2;9.07847;63.4589
555387;257025970;2020-01-02 08:32:31;2.4;183.9;511;-99;4.9;9.07801;63.4583
555388;257025970;2020-01-02 08:33:01;0.1;240.8;511;-99;0.1;9.07805;63.4583
559234;257030830;2020-01-02 08:44:23;0.0;218.0;320;0;2.6;10.3995;63.4387
559235;257030830;2020-01-02 08:44:25;0.0;199.0;319;0;3.9;10.3994;63.4387
559236;257030830;2020-01-02 08:44:28;0.0;157.0;319;0;2.6;10.3995;63.4387
559237;257030830;2020-01-02 08:44:46;0.0;226.0;320;0;2.6;10.3994;63.4387
559238;257030830;2020-01-02 08:47:02;0.0;209.0;319;0;2.6;10.3995;63.4387
607781;257035190;2020-01-02 08:28:47;0.0;360.0;511;-99;0.1;10.4121;63.436
607782;257035190;2020-01-02 08:31:48;0.0;360.0;511;-99;0.1;10.4121;63.4359
607783;257035190;2020-01-02 08:34:47;0.0;360.0;511;-99;0.1;10.412;63.436
612352;257036990;2020-01-02 08:27:03;0.3;142.1;511;-99;0.5;10.4;63.4395
612353;257036990;2020-01-02 08:28:00;0.9;209.2;511;-99;0.9;10.3997;63.4393
612354;257036990;2020-01-02 08:28:30;2.5;212.0;511;-99;0.3;10.3996;63.4393
612355;257036990;2020-01-02 08:28:58;0.5;214.8;511;-99;0.8;10.3995;63.4392
612356;257036990;2020-01-02 08:30:28;0.2;214.8;511;-99;0.8;10.3998;63.4395
612357;257036990;2020-01-02 08:30:59;0.2;214.8;511;-99;0.8;10.3997;63.4394
612358;257036990;2020-01-02 08:31:55;2.6;10.8;511;-99;0.9;10.3998;63.4395
612359;257036990;2020-01-02 08:32:54;0.1;9.5;511;-99;0.4;10.3997;63.4394
612360;257036990;2020-01-02 08:33:56;0.2;9.5;511;-99;0.7;10.3997;63.4393
612361;257036990;2020-01-02 08:34:25;0.2;9.5;511;-99;0.7;10.3997;63.4394
612362;257036990;2020-01-02 08:38:25;0.1;9.5;511;-99;0.1;10.3996;63.4393
612363;257036990;2020-01-02 08:41:24;0.3;9.5;511;-99;0.1;10.3997;63.4394
622667;257041590;2020-01-02 08:31:45;0.1;267.2;511;-99;0.1;8.76922;63.6899
622668;257041590;2020-01-02 08:43:42;0.2;158.1;511;-99;0.1;8.76921;63.6898
625144;257042270;2020-01-02 08:27:06;7.5;221.8;219;5;5.8;9.82026;63.8922
625145;257042270;2020-01-02 08:27:25;7.8;218.5;217;5;16.3;9.81921;63.8916
625146;257042270;2020-01-02 08:27:37;7.8;216.1;216;5;7.0;9.81863;63.8913
625147;257042270;2020-01-02 08:27:45;7.7;216.9;216;5;6.8;9.81827;63.8911
625148;257042270;2020-01-02 08:27:54;7.8;216.2;216;5;8.4;9.81782;63.8908
625149;257042270;2020-01-02 08:28:07;7.9;216.8;217;5;8.1;9.81719;63.8904
625150;257042270;2020-01-02 08:28:16;7.6;216.8;217;5;8.9;9.8167;63.8901
625151;257042270;2020-01-02 08:28:24;7.6;217.8;217;5;7.3;9.81626;63.8899
625152;257042270;2020-01-02 08:28:36;7.6;217.8;218;5;6.8;9.81572;63.8896
625153;257042270;2020-01-02 08:28:46;7.6;219.2;219;5;7.8;9.81526;63.8893
625154;257042270;2020-01-02 08:28:55;7.8;221.1;221;5;9.1;9.81471;63.889
625155;257042270;2020-01-02 08:29:06;7.8;223.2;224;5;7.8;9.8141;63.8887
625156;257042270;2020-01-02 08:29:15;7.8;227.5;228;5;7.3;9.81357;63.8885
625157;257042270;2020-01-02 08:29:25;7.6;229.9;230;5;4.3;9.81316;63.8884
625158;257042270;2020-01-02 08:29:37;7.7;231.4;232;5;7.9;9.81241;63.8881
625159;257042270;2020-01-02 08:29:45;7.6;234.2;234;5;11.4;9.81171;63.8878
625160;257042270;2020-01-02 08:29:56;7.8;235.5;234;5;7.4;9.81098;63.8876
625161;257042270;2020-01-02 08:30:07;7.8;235.2;235;5;6.9;9.81031;63.8874
625162;257042270;2020-01-02 08:30:16;7.8;237.8;237;5;8.6;9.80963;63.8872
625163;257042270;2020-01-02 08:30:24;7.8;239.4;239;5;7.8;9.809;63.8871
625164;257042270;2020-01-02 08:30:36;7.8;239.9;239;5;8.4;9.80818;63.8868
625165;257042270;2020-01-02 08:30:46;7.9;238.6;238;5;6.2;9.80755;63.8867
625166;257042270;2020-01-02 08:30:55;7.9;237.8;237;5;8.6;9.80685;63.8865
625167;257042270;2020-01-02 08:31:06;7.8;237.6;237;5;5.3;9.80626;63.8864
625168;257042270;2020-01-02 08:31:16;7.9;237.9;238;5;7.8;9.80556;63.8862
625169;257042270;2020-01-02 08:31:25;7.9;238.4;238;5;10.6;9.80481;63.8859
625170;257042270;2020-01-02 08:31:37;7.9;238.8;239;5;7.1;9.80403;63.8857
625171;257042270;2020-01-02 08:31:45;7.9;238.9;238;5;9.2;9.80339;63.8855
625172;257042270;2020-01-02 08:31:56;7.8;238.5;238;5;7.6;9.80262;63.8853
625173;257042270;2020-01-02 08:32:07;7.8;238.4;238;5;7.1;9.80193;63.8851
625174;257042270;2020-01-02 08:32:15;7.8;238.8;238;5;8.3;9.80126;63.885
625175;257042270;2020-01-02 08:32:24;7.8;237.8;238;5;8.0;9.80064;63.8848
625176;257042270;2020-01-02 08:32:37;7.8;238.2;238;5;6.9;9.79981;63.8846
625177;257042270;2020-01-02 08:32:46;7.7;238.0;238;5;6.0;9.79928;63.8845
625178;257042270;2020-01-02 08:32:55;7.8;237.5;237;5;8.6;9.79859;63.8843
625179;257042270;2020-01-02 08:33:05;7.6;237.9;238;5;9.3;9.79786;63.884
625180;257042270;2020-01-02 08:33:16;7.6;237.5;237;5;7.4;9.79712;63.8838
625181;257042270;2020-01-02 08:33:25;7.6;237.2;237;5;7.8;9.79652;63.8836
625182;257042270;2020-01-02 08:33:36;7.6;236.8;237;5;7.4;9.79578;63.8834
625183;257042270;2020-01-02 08:33:45;7.7;237.2;237;5;6.7;9.79518;63.8833
625184;257042270;2020-01-02 08:33:56;7.7;236.9;237;5;8.8;9.7944;63.883
625185;257042270;2020-01-02 08:34:06;7.6;235.9;236;5;6.0;9.7938;63.8829
625186;257042270;2020-01-02 08:34:15;7.7;235.1;235;5;7.8;9.79321;63.8827
625187;257042270;2020-01-02 08:34:25;7.7;234.4;234;5;6.0;9.79261;63.8826
625188;257042270;2020-01-02 08:34:34;7.7;235.5;235;5;8.4;9.79195;63.8824
625189;257042270;2020-01-02 08:34:46;7.7;235.2;235;5;7.9;9.7912;63.8821
625190;257042270;2020-01-02 08:34:56;7.7;234.8;234;5;9.3;9.79047;63.8818
625191;257042270;2020-01-02 08:35:05;7.8;237.2;237;5;6.7;9.78987;63.8817
625192;257042270;2020-01-02 08:35:14;7.7;239.8;240;5;8.6;9.78917;63.8815
625193;257042270;2020-01-02 08:35:24;7.8;240.8;240;5;7.4;9.78853;63.8813
625194;257042270;2020-01-02 08:35:35;7.8;240.5;239;5;7.2;9.78782;63.8811
625195;257042270;2020-01-02 08:35:47;7.8;240.2;239;5;7.8;9.78693;63.8809
625196;257042270;2020-01-02 08:35:55;7.7;239.8;239;5;9.2;9.7863;63.8807
625197;257042270;2020-01-02 08:36:06;7.8;239.8;240;5;5.7;9.78567;63.8806
625198;257042270;2020-01-02 08:36:14;7.8;239.0;239;5;7.5;9.78506;63.8805
625199;257042270;2020-01-02 08:36:25;7.8;239.5;239;5;9.2;9.78423;63.8802
625200;257042270;2020-01-02 08:36:34;7.7;240.5;240;5;8.6;9.78353;63.88
625201;257042270;2020-01-02 08:36:46;7.8;239.8;240;5;7.1;9.78275;63.8798
625202;257042270;2020-01-02 08:36:56;7.8;240.2;239;5;6.4;9.78211;63.8797
625203;257042270;2020-01-02 08:37:05;7.8;239.5;240;5;8.9;9.7814;63.8795
625204;257042270;2020-01-02 08:37:15;7.9;239.4;239;5;8.0;9.78069;63.8793
625205;257042270;2020-01-02 08:37:24;7.9;238.6;239;5;8.6;9.78001;63.8791
625206;257042270;2020-01-02 08:37:35;7.9;239.5;239;5;7.2;9.77929;63.8789
625207;257042270;2020-01-02 08:37:47;8.0;238.8;239;5;7.1;9.77851;63.8787
625208;257042270;2020-01-02 08:37:55;8.1;238.0;239;5;7.3;9.77792;63.8786
625209;257042270;2020-01-02 08:38:06;8.0;239.1;239;5;6.7;9.77727;63.8784
625210;257042270;2020-01-02 08:38:14;8.0;239.1;239;5;11.7;9.7764;63.8782
625211;257042270;2020-01-02 08:38:25;8.0;239.8;240;5;7.2;9.77569;63.878
625212;257042270;2020-01-02 08:38:34;8.0;240.9;241;5;9.1;9.77496;63.8778
625213;257042270;2020-01-02 08:38:46;8.0;242.1;241;5;7.3;9.77415;63.8776
625214;257042270;2020-01-02 08:38:56;8.0;242.8;241;5;6.6;9.77348;63.8775
625215;257042270;2020-01-02 08:39:05;8.0;242.0;241;5;9.3;9.77271;63.8773
625216;257042270;2020-01-02 08:39:15;8.0;242.9;242;5;7.6;9.77205;63.8771
625217;257042270;2020-01-02 08:39:26;7.9;243.9;243;5;8.0;9.77123;63.8769
625218;257042270;2020-01-02 08:39:35;7.9;245.2;244;5;5.4;9.7707;63.8769
625219;257042270;2020-01-02 08:39:46;8.0;246.2;245;5;8.0;9.76988;63.8767
625220;257042270;2020-01-02 08:39:55;7.8;246.8;245;5;10.2;9.76902;63.8765
625221;257042270;2020-01-02 08:40:06;8.0;246.4;245;5;8.1;9.76819;63.8763
625222;257042270;2020-01-02 08:40:14;7.8;246.9;246;5;8.5;9.76751;63.8762
625223;257042270;2020-01-02 08:40:25;7.8;247.4;247;5;6.9;9.76674;63.8761
625224;257042270;2020-01-02 08:40:37;8.0;248.1;247;5;7.5;9.7659;63.8759
625225;257042270;2020-01-02 08:40:44;8.2;248.8;249;5;9.4;9.76523;63.8758
625226;257042270;2020-01-02 08:40:56;8.1;254.2;254;5;7.1;9.76435;63.8757
625227;257042270;2020-01-02 08:41:06;7.9;263.2;263;5;8.2;9.76351;63.8756
625228;257042270;2020-01-02 08:41:15;8.2;268.5;268;5;5.8;9.76294;63.8756
625229;257042270;2020-01-02 08:41:26;8.1;270.0;267;5;8.1;9.762;63.8756
625230;257042270;2020-01-02 08:41:37;8.4;271.5;267;5;10.2;9.76081;63.8756
625231;257042270;2020-01-02 08:41:45;8.2;271.0;268;5;8.0;9.76012;63.8756
625232;257042270;2020-01-02 08:41:55;8.1;270.5;267;5;8.2;9.75926;63.8756
625233;257042270;2020-01-02 08:42:05;8.1;269.2;267;5;8.2;9.7584;63.8756
625234;257042270;2020-01-02 08:42:16;8.2;270.0;267;5;7.4;9.75754;63.8756
625235;257042270;2020-01-02 08:42:25;8.2;270.5;267;5;9.7;9.75662;63.8756
625236;257042270;2020-01-02 08:42:36;8.3;269.0;266;5;8.3;9.75566;63.8756
625237;257042270;2020-01-02 08:42:44;8.1;268.0;265;5;8.3;9.75496;63.8756
625238;257042270;2020-01-02 08:42:56;8.2;268.8;267;5;5.7;9.75423;63.8756
625239;257042270;2020-01-02 08:43:06;8.0;269.2;268;5;7.8;9.7534;63.8756
625240;257042270;2020-01-02 08:43:15;8.0;268.0;265;5;11.2;9.75232;63.8756
625241;257042270;2020-01-02 08:43:26;8.1;268.5;265;5;7.2;9.75148;63.8756
625242;257042270;2020-01-02 08:43:37;8.0;265.8;262;5;8.1;9.75056;63.8755
625243;257042270;2020-01-02 08:43:45;8.2;261.0;262;5;8.0;9.74987;63.8755
625244;257042270;2020-01-02 08:43:57;8.2;264.2;263;5;7.5;9.74893;63.8755
625245;257042270;2020-01-02 08:44:05;8.3;264.0;264;5;10.0;9.74811;63.8754
625246;257042270;2020-01-02 08:44:16;8.2;264.5;264;5;7.2;9.74726;63.8754
625247;257042270;2020-01-02 08:44:25;8.3;265.0;265;5;8.9;9.74642;63.8754
625248;257042270;2020-01-02 08:44:36;8.3;265.8;264;5;6.5;9.74569;63.8753
625249;257042270;2020-01-02 08:44:44;8.4;265.5;264;5;8.0;9.74501;63.8753
625250;257042270;2020-01-02 08:44:56;8.0;266.0;264;5;9.9;9.74376;63.8753
625251;257042270;2020-01-02 08:45:06;8.1;264.2;263;5;7.4;9.743;63.8752
625252;257042270;2020-01-02 08:45:15;8.3;263.8;264;5;8.9;9.74215;63.8752
625253;257042270;2020-01-02 08:45:26;8.1;267.0;264;5;6.5;9.74139;63.8752
625254;257042270;2020-01-02 08:45:37;8.2;264.5;264;5;8.1;9.74046;63.8751
625255;257042270;2020-01-02 08:45:46;8.2;266.5;264;5;8.9;9.73961;63.8751
625256;257042270;2020-01-02 08:45:57;8.1;266.0;265;5;7.6;9.73872;63.8751
625257;257042270;2020-01-02 08:46:05;7.8;266.0;264;5;8.7;9.73797;63.8751
625258;257042270;2020-01-02 08:46:16;8.0;267.5;264;5;5.5;9.73732;63.8751
625259;257042270;2020-01-02 08:46:25;8.5;267.8;263;5;9.1;9.73648;63.875
625260;257042270;2020-01-02 08:46:35;8.0;264.0;263;5;9.9;9.73543;63.875
625261;257042270;2020-01-02 08:46:47;7.7;261.8;261;5;7.3;9.73452;63.8749
625262;257042270;2020-01-02 08:46:56;8.0;262.5;261;5;7.8;9.73377;63.8749
645230;257044620;2020-01-02 08:28:05;0.0;328.0;330;0;0.2;9.66992;63.6874
645231;257044620;2020-01-02 08:28:36;0.0;328.0;330;0;0.2;9.66989;63.6874
645232;257044620;2020-01-02 08:28:46;0.0;328.0;330;0;0.2;9.66986;63.6874
645233;257044620;2020-01-02 08:28:55;0.0;328.0;330;0;0.4;9.66991;63.6874
645234;257044620;2020-01-02 08:29:06;0.0;328.0;330;0;0.2;9.66994;63.6874
645235;257044620;2020-01-02 08:29:37;0.0;328.0;330;0;0.3;9.67001;63.6874
645236;257044620;2020-01-02 08:30:05;0.0;328.0;330;0;0.2;9.66996;63.6874
645237;257044620;2020-01-02 08:30:51;1.2;137.6;147;0;1.9;9.67003;63.6874
645238;257044620;2020-01-02 08:30:55;1.7;134.2;146;0;5.3;9.67009;63.6873
645239;257044620;2020-01-02 08:30:58;2.1;134.2;145;0;2.6;9.67018;63.6873
645240;257044620;2020-01-02 08:31:02;2.6;132.9;144;0;1.9;9.67027;63.6873
645241;257044620;2020-01-02 08:31:06;3.1;131.9;143;0;5.8;9.67038;63.6872
645242;257044620;2020-01-02 08:31:09;3.5;131.8;142;0;2.6;9.67048;63.6872
645243;257044620;2020-01-02 08:31:12;3.7;131.2;141;0;2.6;9.67058;63.6872
645244;257044620;2020-01-02 08:31:17;4.2;129.8;138;0;5.1;9.67074;63.6871
