Unnamed: 0;mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
553418;257025170;2020-01-02 09:35:15;5.0;166.2;511;-99;0.6;9.41049;63.5898
553419;257025170;2020-01-02 09:35:45;0.6;172.8;511;-99;2.9;9.41058;63.5894
591010;257033030;2020-01-02 09:17:08;0.0;343.0;190;0;1.0;10.0515;64.0389
591011;257033030;2020-01-02 09:17:39;0.1;343.0;192;0;0.3;10.0516;64.0389
591012;257033030;2020-01-02 09:20:08;0.0;343.0;190;0;0.8;10.0515;64.0389
591013;257033030;2020-01-02 09:20:19;0.0;343.0;191;0;0.7;10.0516;64.0389
591014;257033030;2020-01-02 09:25:39;0.1;343.0;189;0;2.1;10.0516;64.039
591015;257033030;2020-01-02 09:25:59;0.0;343.0;189;0;1.1;10.0516;64.0389
591016;257033030;2020-01-02 09:27:18;0.0;343.0;191;0;2.1;10.0516;64.039
591017;257033030;2020-01-02 09:27:39;0.1;343.0;191;0;1.9;10.0516;64.0389
591018;257033030;2020-01-02 09:29:19;0.0;343.0;191;0;1.9;10.0516;64.039
591019;257033030;2020-01-02 09:29:28;0.0;343.0;191;0;2.6;10.0515;64.0389
591020;257033030;2020-01-02 09:29:39;0.0;343.0;190;0;0.7;10.0516;64.0389
591021;257033030;2020-01-02 09:29:47;0.0;343.0;190;0;2.7;10.0516;64.039
591022;257033030;2020-01-02 09:30:18;0.1;343.0;190;0;1.9;10.0516;64.0389
645514;257044620;2020-01-02 09:16:56;9.0;338.5;340;0;11.2;9.68361;63.6809
645515;257044620;2020-01-02 09:16:59;9.1;337.5;339;0;7.8;9.68348;63.681
645516;257044620;2020-01-02 09:17:01;9.1;336.5;339;0;11.7;9.68337;63.6811
645517;257044620;2020-01-02 09:17:05;9.1;335.8;339;0;11.2;9.6832;63.6813
645518;257044620;2020-01-02 09:17:08;9.1;335.2;339;0;7.8;9.68309;63.6814
645519;257044620;2020-01-02 09:17:11;9.1;334.5;339;0;7.8;9.68297;63.6815
645520;257044620;2020-01-02 09:17:15;9.1;334.2;339;0;5.8;9.68284;63.6816
645521;257044620;2020-01-02 09:17:19;9.1;334.2;340;0;6.3;9.68267;63.6817
645522;257044620;2020-01-02 09:17:22;9.1;334.2;341;0;14.9;9.68254;63.6819
645523;257044620;2020-01-02 09:17:24;9.1;334.5;342;0;11.7;9.68242;63.682
645524;257044620;2020-01-02 09:17:35;9.1;336.5;344;0;8.5;9.68202;63.6824
645525;257044620;2020-01-02 09:17:46;9.0;338.5;344;0;8.3;9.68168;63.6828
645526;257044620;2020-01-02 09:17:55;9.0;339.5;343;0;10.2;9.68136;63.6832
645527;257044620;2020-01-02 09:18:05;9.0;338.8;339;0;9.1;9.68101;63.6836
645528;257044620;2020-01-02 09:18:12;9.1;337.8;337;0;6.7;9.68078;63.6838
645529;257044620;2020-01-02 09:18:14;9.1;336.8;336;0;11.7;9.68067;63.6839
645530;257044620;2020-01-02 09:18:17;9.1;335.5;335;0;7.8;9.68054;63.684
645531;257044620;2020-01-02 09:18:21;9.1;334.5;334;0;11.2;9.68037;63.6842
645532;257044620;2020-01-02 09:18:25;9.1;333.5;332;0;6.3;9.68023;63.6843
645533;257044620;2020-01-02 09:18:28;9.1;332.2;331;0;9.1;9.68005;63.6844
645534;257044620;2020-01-02 09:18:32;9.1;331.0;329;0;6.3;9.6799;63.6845
645535;257044620;2020-01-02 09:18:36;9.1;330.0;326;0;11.7;9.6797;63.6847
645536;257044620;2020-01-02 09:18:39;9.1;328.8;324;0;8.4;9.67955;63.6848
645537;257044620;2020-01-02 09:18:41;9.1;327.2;322;0;12.6;9.67938;63.6849
645538;257044620;2020-01-02 09:18:45;9.1;325.0;320;0;7.3;9.67915;63.685
645539;257044620;2020-01-02 09:18:48;9.1;323.2;318;0;9.1;9.67897;63.6851
