Unnamed: 0;mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
9812;209445000;2020-01-02 09:21:21;0.1;182.9;249;1;0.2;7.82657;63.0149
9813;209445000;2020-01-02 09:24:23;0.2;337.5;237;1;0.1;7.82658;63.015
9814;209445000;2020-01-02 09:30:22;0.1;26.7;249;1;0.1;7.82672;63.0149
9815;209445000;2020-01-02 09:33:23;0.0;296.0;230;1;0.2;7.82648;63.015
9816;209445000;2020-01-02 09:36:21;0.2;168.8;252;1;0.3;7.8268;63.0148
82459;219026083;2020-01-02 09:32:36;0.0;73.4;511;5;0.1;7.73724;63.114
82460;219026083;2020-01-02 09:35:38;0.0;82.1;511;5;0.1;7.73721;63.1139
100161;219675000;2020-01-02 09:19:35;0.0;0.1;250;1;0.4;7.80283;63.0185
100162;219675000;2020-01-02 09:22:36;0.3;0.1;244;1;0.2;7.80294;63.0187
100163;219675000;2020-01-02 09:25:37;0.0;0.1;235;1;0.1;7.80283;63.0187
100164;219675000;2020-01-02 09:31:35;0.0;0.1;237;1;0.1;7.80299;63.0187
100165;219675000;2020-01-02 09:34:36;0.0;0.1;235;1;0.2;7.80281;63.0186
100166;219675000;2020-01-02 09:37:35;0.3;0.1;250;1;0.3;7.803;63.0184
184750;231834000;2020-01-02 09:20:13;0.0;139.9;117;5;0.1;7.40226;62.9579
441214;257000210;2020-01-02 09:18:21;0.0;360.0;511;0;1.9;7.75995;63.1151
441215;257000210;2020-01-02 09:18:31;0.0;360.0;511;0;2.1;7.75995;63.1152
441216;257000210;2020-01-02 09:20:10;0.0;360.0;511;0;0.2;7.75999;63.1152
441217;257000210;2020-01-02 09:20:21;0.0;360.0;511;0;0.2;7.75996;63.1152
441218;257000210;2020-01-02 09:21:50;0.0;360.0;511;0;0.2;7.75994;63.1152
441219;257000210;2020-01-02 09:22:01;0.0;360.0;511;0;0.2;7.75996;63.1152
441220;257000210;2020-01-02 09:22:42;0.0;360.0;511;0;0.2;7.75994;63.1152
441221;257000210;2020-01-02 09:22:51;0.0;360.0;511;0;0.2;7.75996;63.1152
441222;257000210;2020-01-02 09:24:31;0.0;360.0;511;0;0.2;7.75993;63.1152
441223;257000210;2020-01-02 09:24:42;0.0;360.0;511;0;0.2;7.75995;63.1152
441224;257000210;2020-01-02 09:25:12;0.0;360.0;511;0;0.2;7.75994;63.1152
441225;257000210;2020-01-02 09:25:41;0.0;360.0;511;0;0.2;7.75992;63.1152
441226;257000210;2020-01-02 09:25:52;0.0;360.0;511;0;0.2;7.7599;63.1152
441227;257000210;2020-01-02 09:26:01;0.0;360.0;511;0;0.4;7.75994;63.1152
441228;257000210;2020-01-02 09:29:01;0.0;360.0;511;0;0.1;7.75991;63.1152
441229;257000210;2020-01-02 09:29:12;0.0;360.0;511;0;1.9;7.75992;63.1151
441230;257000210;2020-01-02 09:29:32;0.0;360.0;511;0;1.1;7.75995;63.1152
441231;257000210;2020-01-02 09:29:51;0.0;360.0;511;0;0.2;7.75991;63.1152
441232;257000210;2020-01-02 09:30:02;0.0;360.0;511;0;0.4;7.75995;63.1152
441233;257000210;2020-01-02 09:30:21;0.0;360.0;511;0;1.1;7.75994;63.1151
441234;257000210;2020-01-02 09:30:31;0.0;360.0;511;0;2.1;7.75995;63.1152
441235;257000210;2020-01-02 09:31:51;0.0;360.0;511;0;0.2;7.75992;63.1152
441236;257000210;2020-01-02 09:32:02;0.0;360.0;511;0;0.2;7.75994;63.1152
441237;257000210;2020-01-02 09:32:22;0.0;360.0;511;0;1.1;7.75992;63.1151
441238;257000210;2020-01-02 09:32:32;0.0;360.0;511;0;2.1;7.75991;63.1152
441239;257000210;2020-01-02 09:32:42;0.0;360.0;511;0;2.1;7.75993;63.1151
441240;257000210;2020-01-02 09:32:52;0.0;360.0;511;0;2.1;7.75994;63.1152
441241;257000210;2020-01-02 09:33:23;0.0;360.0;511;0;0.1;7.75991;63.1152
441242;257000210;2020-01-02 09:33:51;0.0;360.0;511;0;0.2;7.75989;63.1152
441243;257000210;2020-01-02 09:34:10;0.0;360.0;511;0;0.1;7.75992;63.1152
441244;257000210;2020-01-02 09:34:32;0.0;360.0;511;0;0.4;7.75989;63.1152
441245;257000210;2020-01-02 09:35:11;0.1;26.9;511;0;0.4;7.75997;63.1152
441246;257000210;2020-01-02 09:35:23;0.0;360.0;511;0;0.3;7.75993;63.1152
441247;257000210;2020-01-02 09:35:31;0.0;360.0;511;0;0.2;7.75995;63.1152
441248;257000210;2020-01-02 09:35:51;0.0;360.0;511;0;0.4;7.75992;63.1152
441249;257000210;2020-01-02 09:36:21;0.1;27.0;511;0;0.5;7.75998;63.1152
441250;257000210;2020-01-02 09:36:32;0.0;360.0;511;0;0.5;7.75991;63.1152
441251;257000210;2020-01-02 09:37:00;0.0;360.0;511;0;0.2;7.75994;63.1152
441252;257000210;2020-01-02 09:37:11;0.0;360.0;511;0;0.4;7.75989;63.1152
441253;257000210;2020-01-02 09:37:31;0.0;360.0;511;0;0.1;7.75991;63.1152
460364;257000260;2020-01-02 09:18:06;0.0;360.0;511;15;2.7;7.38973;63.0002
460365;257000260;2020-01-02 09:18:17;0.1;0.9;511;15;1.9;7.38969;63.0001
460366;257000260;2020-01-02 09:18:47;0.0;360.0;511;15;1.9;7.3897;63.0002
460367;257000260;2020-01-02 09:18:58;0.0;360.0;511;15;1.9;7.3897;63.0001
460368;257000260;2020-01-02 09:19:27;0.1;1.4;511;15;0.2;7.38972;63.0001
