Unnamed: 0;mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
161993;231103000;2019-09-02 16:27:51;12.9;237.4;239;0;15.3;7.69386;63.1514
161994;231103000;2019-09-02 16:28:03;13.0;237.8;239;0;11.0;7.69266;63.1511
161995;231103000;2019-09-02 16:28:13;12.9;237.6;239;0;12.6;7.69153;63.1508
161996;231103000;2019-09-02 16:28:21;12.9;238.2;239;0;13.6;7.69063;63.1505
161997;231103000;2019-09-02 16:28:32;12.9;238.0;240;0;12.2;7.68942;63.1502
161998;231103000;2019-09-02 16:28:41;12.9;237.1;240;0;13.8;7.68831;63.1499
161999;231103000;2019-09-02 16:28:52;12.8;237.9;240;0;12.5;7.6872;63.1495
162000;231103000;2019-09-02 16:29:04;12.8;237.2;240;0;11.0;7.686;63.1492
162001;231103000;2019-09-02 16:29:12;12.8;238.0;239;0;15.6;7.68489;63.1489
162002;231103000;2019-09-02 16:29:22;12.8;237.8;240;0;11.7;7.68389;63.1486
162003;231103000;2019-09-02 16:29:31;12.9;238.0;240;0;13.8;7.68278;63.1483
162004;231103000;2019-09-02 16:29:42;12.7;237.9;239;0;11.3;7.68168;63.148
162005;231103000;2019-09-02 16:29:51;12.8;237.1;239;0;13.8;7.68058;63.1477
162006;231103000;2019-09-02 16:30:04;12.8;237.6;239;0;11.2;7.67936;63.1473
162007;231103000;2019-09-02 16:30:13;12.6;237.6;239;0;13.8;7.67827;63.147
162008;231103000;2019-09-02 16:30:21;12.7;237.5;240;0;13.4;7.67739;63.1467
162009;231103000;2019-09-02 16:30:32;12.7;237.5;240;0;11.1;7.67632;63.1464
162010;231103000;2019-09-02 16:30:43;12.7;237.9;240;0;14.1;7.67498;63.146
162011;231103000;2019-09-02 16:30:51;12.7;238.0;239;0;13.1;7.67399;63.1458
162012;231103000;2019-09-02 16:31:03;12.7;237.4;239;0;12.0;7.67279;63.1454
162013;231103000;2019-09-02 16:31:12;12.8;237.5;239;0;13.8;7.6717;63.1451
162014;231103000;2019-09-02 16:31:22;12.7;238.1;240;0;11.7;7.67069;63.1448
162015;231103000;2019-09-02 16:31:33;12.8;237.5;239;0;13.1;7.6695;63.1444
162016;231103000;2019-09-02 16:31:42;12.7;235.9;239;0;13.6;7.66842;63.1441
162017;231103000;2019-09-02 16:31:53;12.7;236.6;240;0;11.3;7.66732;63.1438
162018;231103000;2019-09-02 16:32:04;12.6;237.9;239;0;11.3;7.66623;63.1435
162019;231103000;2019-09-02 16:32:13;12.7;237.6;239;0;13.8;7.66514;63.1432
162020;231103000;2019-09-02 16:32:21;12.7;237.2;240;0;14.3;7.66415;63.1429
162021;231103000;2019-09-02 16:32:32;12.7;237.4;239;0;13.3;7.66294;63.1425
162022;231103000;2019-09-02 16:32:43;12.8;237.8;240;0;11.3;7.66185;63.1422
162023;231103000;2019-09-02 16:32:52;12.8;237.8;239;0;13.8;7.66074;63.1419
162024;231103000;2019-09-02 16:33:02;12.8;237.2;240;0;11.5;7.65975;63.1416
162025;231103000;2019-09-02 16:33:13;12.8;238.4;239;0;13.4;7.65852;63.1412
162026;231103000;2019-09-02 16:33:22;12.7;237.0;240;0;11.4;7.65755;63.141
162027;231103000;2019-09-02 16:33:33;12.8;237.9;240;0;13.4;7.65632;63.1406
162028;231103000;2019-09-02 16:33:42;12.8;238.2;239;0;14.0;7.65519;63.1403
162029;231103000;2019-09-02 16:33:53;12.8;238.6;239;0;11.3;7.6541;63.14
162030;231103000;2019-09-02 16:34:01;12.7;238.2;239;0;14.3;7.65311;63.1397
162031;231103000;2019-09-02 16:34:12;12.8;238.0;240;0;13.3;7.65189;63.1393
162032;231103000;2019-09-02 16:34:21;12.8;238.2;240;0;11.7;7.6509;63.1391
162033;231103000;2019-09-02 16:34:32;12.8;238.6;239;0;13.3;7.64968;63.1387
162034;231103000;2019-09-02 16:34:43;12.8;237.0;239;0;11.5;7.64857;63.1384
162035;231103000;2019-09-02 16:34:52;12.9;237.8;239;0;13.8;7.64747;63.1381
162036;231103000;2019-09-02 16:35:02;12.8;237.9;240;0;11.7;7.64647;63.1378
162037;231103000;2019-09-02 16:35:13;12.8;237.6;240;0;13.3;7.64525;63.1374
162038;231103000;2019-09-02 16:35:22;12.9;237.2;240;0;13.0;7.64424;63.1371
162039;231103000;2019-09-02 16:35:33;12.9;238.2;239;0;12.2;7.64302;63.1368
162040;231103000;2019-09-02 16:35:53;12.9;238.2;240;0;12.5;7.64081;63.1362
162041;231103000;2019-09-02 16:36:01;13.0;238.2;239;0;14.8;7.63979;63.1359
162042;231103000;2019-09-02 16:36:12;12.9;237.6;239;0;13.4;7.63856;63.1355
162043;231103000;2019-09-02 16:36:22;13.0;237.5;240;0;11.7;7.63756;63.1352
162044;231103000;2019-09-02 16:36:32;12.8;237.6;240;0;13.4;7.63634;63.1349
162045;231103000;2019-09-02 16:36:43;12.9;237.0;240;0;11.5;7.63522;63.1346
162046;231103000;2019-09-02 16:36:53;12.8;238.0;239;0;12.6;7.6341;63.1343
162047;231103000;2019-09-02 16:37:13;12.8;237.8;240;0;13.1;7.6319;63.1336
162048;231103000;2019-09-02 16:37:21;12.9;237.2;239;0;14.6;7.63089;63.1333
162049;231103000;2019-09-02 16:38:01;12.8;238.8;240;0;12.9;7.62644;63.132
162050;231103000;2019-09-02 16:38:22;12.9;238.4;240;0;12.0;7.6242;63.1314
