Unnamed: 0;mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
22084;210041000;2019-09-02 17:59:11;9.3;58.7;62;0;9.9;6.89375;63.0964
22085;210041000;2019-09-02 17:59:22;9.3;58.0;62;0;8.3;6.89458;63.0966
22086;210041000;2019-09-02 17:59:31;9.4;56.9;61;0;9.9;6.89539;63.0968
22087;210041000;2019-09-02 17:59:41;9.5;57.5;62;0;8.4;6.89613;63.097
22088;210041000;2019-09-02 17:59:51;9.4;56.1;62;0;10.9;6.89703;63.0973
22089;210041000;2019-09-02 18:00:01;9.4;60.9;61;0;8.4;6.89778;63.0975
22090;210041000;2019-09-02 18:00:10;9.3;61.0;61;0;10.8;6.89869;63.0977
22091;210041000;2019-09-02 18:00:21;9.3;60.4;61;0;8.1;6.89951;63.0979
22092;210041000;2019-09-02 18:00:31;9.3;59.4;62;0;10.1;6.90032;63.0982
22093;210041000;2019-09-02 18:00:40;9.4;58.0;62;0;9.3;6.90106;63.0984
22094;210041000;2019-09-02 18:00:51;9.3;58.0;63;0;8.8;6.90195;63.0986
22095;210041000;2019-09-02 18:01:00;9.3;59.3;62;0;9.3;6.90269;63.0988
22096;210041000;2019-09-02 18:01:11;9.3;60.7;63;0;9.7;6.90358;63.0991
22097;210041000;2019-09-02 18:01:22;9.3;58.5;63;0;8.1;6.9044;63.0993
22098;210041000;2019-09-02 18:01:30;9.2;61.1;62;0;10.2;6.90513;63.0995
22099;210041000;2019-09-02 18:01:41;9.1;59.7;61;0;8.0;6.90592;63.0997
22100;210041000;2019-09-02 18:01:52;9.1;61.3;61;0;8.8;6.90681;63.0999
22101;210041000;2019-09-02 18:02:01;9.2;57.1;62;0;10.6;6.90753;63.1002
22102;210041000;2019-09-02 18:02:10;9.2;57.8;62;0;10.8;6.90842;63.1004
22103;210041000;2019-09-02 18:02:21;9.3;59.0;62;0;8.1;6.90924;63.1006
22104;210041000;2019-09-02 18:02:31;9.1;60.1;60;0;8.2;6.90996;63.1008
22105;210041000;2019-09-02 18:02:40;9.1;59.3;62;0;9.7;6.91075;63.101
22106;210041000;2019-09-02 18:02:51;9.2;59.0;62;0;9.7;6.91162;63.1013
22107;210041000;2019-09-02 18:03:00;9.1;59.2;61;0;9.1;6.91233;63.1015
22108;210041000;2019-09-02 18:03:10;9.1;57.5;61;0;9.3;6.91319;63.1017
22109;210041000;2019-09-02 18:03:22;9.1;57.1;61;0;7.1;6.91395;63.1019
22110;210041000;2019-09-02 18:03:30;9.2;59.3;62;0;10.4;6.9147;63.1021
22111;210041000;2019-09-02 18:03:41;9.1;61.9;62;0;8.0;6.9155;63.1023
22112;210041000;2019-09-02 18:03:50;9.1;60.7;61;0;11.9;6.91638;63.1026
22113;210041000;2019-09-02 18:04:01;9.0;62.5;60;0;7.4;6.9171;63.1028
22114;210041000;2019-09-02 18:04:11;8.9;59.9;61;0;9.1;6.91793;63.103
22115;210041000;2019-09-02 18:04:21;8.7;59.1;61;0;8.4;6.91868;63.1032
22116;210041000;2019-09-02 18:04:31;8.9;60.0;61;0;8.0;6.91938;63.1034
22117;210041000;2019-09-02 18:04:40;8.9;58.6;60;0;9.5;6.92015;63.1036
22118;210041000;2019-09-02 18:04:51;8.9;56.8;62;0;9.5;6.92101;63.1039
22119;210041000;2019-09-02 18:05:01;8.9;57.6;61;0;8.0;6.9217;63.1041
22120;210041000;2019-09-02 18:05:10;8.8;57.7;61;0;10.2;6.92254;63.1043
22121;210041000;2019-09-02 18:05:22;8.9;57.1;61;0;7.3;6.92333;63.1045
22122;210041000;2019-09-02 18:05:30;9.0;57.7;61;0;10.0;6.92403;63.1047
22123;210041000;2019-09-02 18:05:41;8.9;58.7;61;0;8.0;6.92481;63.1049
22124;210041000;2019-09-02 18:05:50;8.9;55.9;62;0;11.4;6.92565;63.1052
22125;210041000;2019-09-02 18:06:00;9.0;57.1;63;0;8.0;6.92635;63.1054
22126;210041000;2019-09-02 18:06:11;8.8;56.7;62;0;8.7;6.92723;63.1056
22127;210041000;2019-09-02 18:06:22;8.8;59.3;62;0;8.0;6.92802;63.1058
22128;210041000;2019-09-02 18:06:31;8.9;60.2;62;0;8.9;6.92872;63.106
22129;210041000;2019-09-02 18:06:40;8.9;58.1;61;0;9.3;6.92947;63.1062
22130;210041000;2019-09-02 18:06:50;8.9;56.2;62;0;9.1;6.93031;63.1064
22131;210041000;2019-09-02 18:07:01;8.8;56.0;62;0;7.2;6.93101;63.1066
22132;210041000;2019-09-02 18:07:10;8.6;57.7;61;0;11.4;6.93185;63.1069
22133;210041000;2019-09-02 18:07:21;8.6;56.8;61;0;7.6;6.9326;63.1071
22134;210041000;2019-09-02 18:07:30;8.9;56.2;62;0;8.6;6.93328;63.1073
22135;210041000;2019-09-02 18:07:41;8.9;57.3;63;0;7.8;6.93404;63.1075
22136;210041000;2019-09-02 18:07:51;8.7;57.4;62;0;9.1;6.93488;63.1077
22137;210041000;2019-09-02 18:08:00;8.7;58.7;61;0;8.9;6.93557;63.1079
22138;210041000;2019-09-02 18:08:11;8.7;58.2;61;0;9.4;6.93641;63.1082
22139;210041000;2019-09-02 18:08:22;8.7;57.6;62;0;7.6;6.93716;63.1084
22140;210041000;2019-09-02 18:08:31;8.8;57.0;62;0;10.2;6.938;63.1086
22141;210041000;2019-09-02 18:08:41;8.8;56.8;62;0;7.2;6.93861;63.1088
22142;210041000;2019-09-02 18:08:50;8.9;58.3;62;0;10.2;6.93945;63.109
22143;210041000;2019-09-02 18:09:01;8.7;56.0;62;0;7.1;6.94012;63.1092
22144;210041000;2019-09-02 18:09:10;8.9;55.4;61;0;9.5;6.94088;63.1094
22145;210041000;2019-09-02 18:09:21;8.9;57.0;61;0;9.5;6.94173;63.1097
22146;210041000;2019-09-02 18:09:32;8.9;57.5;62;0;8.5;6.94259;63.1099
22147;210041000;2019-09-02 18:09:40;8.8;57.9;61;0;9.2;6.94321;63.1101
22148;210041000;2019-09-02 18:09:51;8.9;58.3;61;0;8.5;6.94406;63.1103
22149;210041000;2019-09-02 18:10:02;9.0;56.6;62;0;9.0;6.94483;63.1106
22150;210041000;2019-09-02 18:10:11;8.9;57.8;62;0;8.6;6.94551;63.1108
22151;210041000;2019-09-02 18:10:22;9.0;56.1;62;0;8.3;6.94635;63.111
22152;210041000;2019-09-02 18:10:31;9.1;57.2;62;0;11.7;6.9472;63.1113
22153;210041000;2019-09-02 18:10:41;9.1;61.6;62;0;6.6;6.94785;63.1114
22154;210041000;2019-09-02 18:10:50;9.0;60.1;61;0;11.4;6.94869;63.1117
22155;210041000;2019-09-02 18:11:01;9.0;59.7;61;0;7.8;6.94946;63.1119
22156;210041000;2019-09-02 18:11:10;9.0;58.4;61;0;8.9;6.95016;63.1121
22157;210041000;2019-09-02 18:11:21;9.0;58.9;62;0;8.5;6.95101;63.1123
22158;210041000;2019-09-02 18:11:32;9.1;59.0;62;0;9.7;6.95189;63.1126
22159;210041000;2019-09-02 18:11:42;9.0;60.2;61;0;8.7;6.95268;63.1128
22160;210041000;2019-09-02 18:11:51;8.9;60.4;60;0;9.1;6.9534;63.113
