mmsi;imo;name;callsign;length;width;type;date_min;date_max
9108127;-99;ONWA8127;-99;19;15;;2018-06-27;2018-06-27
9108127;-99;ONWA8127;-99;19;15;;2018-06-28;2018-06-28
9108127;-99;ONWA8127;-99;19;15;;2018-06-29;2018-06-29
9108127;-99;ONWA8127;-99;19;15;;2018-06-30;2018-06-30
9108127;-99;ONWA8127;-99;19;15;;2018-07-01;2018-07-01
111111111;7110024;TANUNDA;VJHN;25;8;90.0;2018-01-01;2019-01-23
111111111;222;ST27;ST27;67;9;90.0;2019-01-24;2019-04-03
111111111;222;ST27;ST27;67;9;0.0;2019-04-04;2019-08-14
111111111;222;ST27;ST27;67;9;50.0;2019-08-15;2019-08-17
111111111;222;ST27;ST27;67;9;0.0;2019-08-18;2019-08-21
111111111;222;ST27;ST27;67;9;99.0;2019-08-22;2019-08-22
111111111;222;ST27;ST27;67;9;0.0;2019-08-23;2019-08-31
111111111;222;ST27;ST27;67;9;4.0;2019-09-01;2019-09-01
111111111;222;ST27;ST27;67;9;0.0;2019-09-02;2019-09-03
111111111;222;ST27;ST27;67;9;50.0;2019-09-04;2019-09-08
111111111;222;ST27;ST27;67;9;0.0;2019-09-09;2019-09-09
200000000;-99;0;-99;0;0;53.0;2019-03-10;2019-03-14
200000000;-99;0;-99;0;0;30.0;2019-03-15;2019-03-24
200000000;-99;0;-99;0;0;1.0;2019-03-25;2019-03-25
205204000;0;NATO WARSHIP A960;ORJH;92;14;35.0;2018-07-30;2018-07-30
205205000;0;NATO WARSHIP F931;ORJQ;144;17;35.0;2018-05-23;2018-05-23
205340000;9261487;UNION MANTA;ORKJ;75;18;52.0;2018-03-26;2018-03-26
205395000;9283681;MINERAL NOBLE;ONAN;289;45;70.0;2018-03-28;2018-03-28
205400000;9272383;MINERAL BEIJING;ONAR;289;45;;2018-03-02;2018-03-25
205400000;9272383;MINERAL BEIJING;ONAR;289;45;;2018-03-26;2018-03-26
205622000;9546617;AMAZONE;ORQJ;102;21;90.0;2019-11-04;2019-11-04
205661000;0;P902 BNS POLLUX;ORJU;54;10;35.0;2019-11-07;2019-11-07
205713000;9719276;KALLO;ONIX;180;30;89.0;2019-10-01;2019-10-01
205871100;8711;ANTWERP FLYER;OS 8711;28;8;96.0;2019-02-16;2019-02-16
209075000;9277278;NINA;5BTL4;104;14;70.0;2018-01-18;2018-01-18
209078000;9754410;FRIGG W;5BTV4;138;22;70.0;2018-02-16;2018-02-16
209190000;9754434;SIF W;5BXG4;138;22;70.0;2018-07-27;2018-07-27
209221000;9684122;TRAVIATA;5BXS4;104;17;80.0;2019-04-28;2019-04-28
209239000;9006277;RIX STAR;5BYE4;86;13;70.0;2019-01-16;2019-01-16
209273000;9472012;ALSTERTAL;5BMF2;90;15;70.0;2019-08-27;2019-08-27
209304000;9617296;WILSON LIVERPOOL;5BJP3;89;12;71.0;2018-01-27;2019-03-10
209304000;9617296;WILSON LIVERPOOL;5BJP3;89;12;79.0;2019-03-11;2019-03-12
209304000;9617296;WILSON LIVERPOOL;5BJP3;89;12;70.0;2019-03-13;2019-11-13
209304000;9617296;WILSON LIVERPOOL;5BJP3;89;12;79.0;2019-11-14;2019-11-14
209304000;9617296;WILSON LIVERPOOL;5BJP3;89;12;70.0;2019-11-15;2019-11-15
209318000;9754446;SIGYN W;5BAP5;131;22;70.0;2018-12-02;2018-12-02
209432000;9017393;WILSON SKY;P3VJ8;90;15;79.0;2018-01-23;2018-01-23
209445000;8719102;KEY STAR;5BFN3;75;13;80.0;2018-06-06;2018-06-06
209449000;9583861;ROCKPIPER;5BML3;159;36;99.0;2018-04-11;2018-04-11
209532000;9580091;MERCURIUS;5BCU3;180;30;70.0;2018-12-08;2018-12-08
209596000;9518919;CAPE BREEZE;5BWU2;292;45;79.0;2018-12-03;2018-12-03
209608000;9224166;HERMAS;5BFW5;90;14;70.0;2019-08-10;2019-08-10
209662000;9167320;ULTRAMAR;P3WF9;89;13;70.0;2018-02-17;2018-02-17
210031000;9195743;HELAS;C4AZ2;89;12;;2018-02-20;2018-02-20
210031000;9195743;HELAS;C4AZ2;89;12;;2018-02-21;2018-02-21
210031000;9195743;HELAS;C4AZ2;89;12;;2018-02-22;2018-02-22
210031000;9195743;HELAS;C4AZ2;89;12;;2018-02-23;2018-02-23
210032000;9448281;UBC CARTAGENA;5BUF2;117;20;70.0;2018-01-03;2018-01-03
210041000;9617301;WILSON LIMERICK;5BLX3;89;12;70.0;2018-01-09;2018-01-09
210055000;9448279;UBC CORK;5BSP2;117;20;70.0;2018-01-11;2018-01-11
210072000;7810222;WILSON MERSIN;P3PA6;108;15;70.0;2018-01-03;2018-01-03
210075000;9617325;SANTA HELENA 1;5BNF3;90;12;70.0;2018-02-24;2018-02-24
210445000;9200081;KAPRIFOL;5BXX2;89;12;82.0;2018-02-07;2018-02-07
210459000;9318931;RITA;5BUV3;132;19;70.0;2018-01-11;2019-02-25
210459000;9318931;RITA;5BUV3;132;19;79.0;2019-02-26;2019-02-26
210478000;7926095;WILSON TRENT;P3LG5;110;17;70.0;2018-02-23;2018-02-23
210604000;9017434;WILSON HOOK;P3TW9;90;15;79.0;2018-01-27;2018-01-27
210803000;9374727;FRAKT SUND;5BBD4;90;14;70.0;2018-01-16;2018-01-16
