;mmsi;lon;lat;date_time_utc;sog;cog;true_heading;nav_status;message_nr;source
0;1;0.4142504612933815;69.59272036788447;2021-01-01 00:00:00+00:00;19.9;241;241;0;18;
1;2;0.4055610230682885;69.58789535180873;2021-01-01 00:00:00+00:00;8.199999999999998;230;230;0;18;
2;1;0.41381531397637517;69.59248621156657;2021-01-01 00:00:05+00:00;19.048519830905533;240;240;0;18;
3;2;0.40539396423217133;69.58776369801348;2021-01-01 00:00:05+00:00;8.290534199081495;230;230;0;18;
4;1;0.4133882170629924;69.5922460888149;2021-01-01 00:00:10+00:00;19.048519830905533;240;240;0;18;
5;2;0.40522863491930877;69.58762900506436;2021-01-01 00:00:10+00:00;8.290534199081495;230;230;0;18;
6;1;0.41296045847760315;69.59200714666217;2021-01-01 00:00:15+00:00;19.048519830905533;240;240;0;18;
7;2;0.4050632286683071;69.58749440660861;2021-01-01 00:00:15+00:00;8.290534199081495;230;230;0;18;
8;1;0.41253231085180314;69.59176890216206;2021-01-01 00:00:20+00:00;19.048519830905533;240;240;0;18;
9;2;0.40489775766527364;69.58735988776338;2021-01-01 00:00:20+00:00;8.290534199081495;230;230;0;18;
10;1;0.4121039683062254;69.59153100825021;2021-01-01 00:00:25+00:00;19.048519830905533;240;240;0;18;
11;2;0.4047322357750242;69.58722543153755;2021-01-01 00:00:25+00:00;8.290534199081495;230;230;0;18;
12;1;0.41167552828946646;69.5912932899163;2021-01-01 00:00:30+00:00;19.048519830905533;240;240;0;18;
13;2;0.40456667389105805;69.58709102456024;2021-01-01 00:00:30+00:00;8.290534199081495;230;230;0;18;
14;1;0.4112470395070733;69.59105565949157;2021-01-01 00:00:35+00:00;19.048519830905533;240;240;0;18;
15;2;0.40440108057211205;69.58695665631329;2021-01-01 00:00:35+00:00;8.290534199081495;230;230;0;18;
16;1;0.4108185263198871;69.59081807307764;2021-01-01 00:00:40+00:00;19.048519830905533;240;240;0;18;
17;2;0.4042354625436156;69.5868223185235;2021-01-01 00:00:40+00:00;8.290534199081495;230;230;0;18;
18;1;0.41039000091755323;69.59058050869623;2021-01-01 00:00:45+00:00;19.048519830905533;240;240;0;18;
19;2;0.4040698250910424;69.58668800468405;2021-01-01 00:00:45+00:00;8.290534199081495;230;230;0;18;
20;1;0.40996146940082184;69.59034295534445;2021-01-01 00:00:50+00:00;19.048519830905533;240;240;0;18;
21;2;0.40390417236862236;69.58655370967766;2021-01-01 00:00:50+00:00;8.290534199081495;230;230;0;18;
22;1;0.4095329348233681;69.59010540751412;2021-01-01 00:00:55+00:00;19.048519830905533;240;240;0;18;
23;2;0.40373850764171015;69.58641942948009;2021-01-01 00:00:55+00:00;8.290534199081495;230;230;0;18;
24;1;0.40910439871376153;69.58986786244779;2021-01-01 00:01:00+00:00;19.048519830905533;240;240;0;18;
25;2;0.40357283347713374;69.5862851609268;2021-01-01 00:01:00+00:00;8.290534199081495;230;230;0;18;
